Date,Open,High,Low,Close,Adj_Close,Volume
2019-10-31,6.903000,6.985000,6.892000,6.940000,6.796259,26801493
2019-11-01,6.960000,6.983000,6.910000,6.931000,6.787446,14016808
2019-11-04,6.928000,6.975000,6.889000,6.968000,6.823679,23769630
2019-11-05,6.959000,6.962000,6.895000,6.910000,6.766880,24837360
2019-11-06,6.891000,6.908000,6.820000,6.899000,6.756108,26002559
2019-11-07,6.906000,6.910000,6.740000,6.752000,6.612153,35818548
2019-11-08,6.760000,6.876000,6.731000,6.866000,6.723792,26938887
2019-11-11,6.837000,6.920000,6.825000,6.860000,6.717916,20271839
2019-11-12,6.860000,7.009000,6.842000,6.983000,6.838368,32344433
2019-11-13,6.972000,6.985000,6.876000,6.930000,6.786466,31783078
2019-11-14,6.950000,7.000000,6.875000,6.875000,6.732605,21209661
2019-11-15,6.899000,6.913000,6.823000,6.862000,6.719874,22527825
2019-11-18,6.865000,6.901000,6.807000,6.898000,6.755129,19818923
2019-11-19,6.910000,6.967000,6.823000,6.830000,6.688537,22729757
2019-11-20,6.813000,6.875000,6.785000,6.804000,6.663076,18644437
2019-11-21,6.806000,6.839000,6.754000,6.775000,6.634676,23030996
2019-11-22,6.775000,6.789000,6.733000,6.750000,6.610194,23582396
2019-11-25,6.787000,6.860000,6.771000,6.840000,6.698330,21431888
2019-11-26,6.860000,6.909000,6.738000,6.899000,6.756108,50680215
2019-11-27,6.914000,6.941000,6.868000,6.903000,6.760025,24732599
2019-11-28,6.872000,6.912000,6.827000,6.871000,6.728688,14716947
2019-11-29,6.860000,6.914000,6.840000,6.856000,6.713999,19381396
2019-12-02,6.853000,6.882000,6.596000,6.605000,6.468197,39665396
2019-12-03,6.605000,6.696000,6.605000,6.677000,6.538706,26224693
2019-12-04,6.677000,6.735000,6.646000,6.730000,6.590609,21250247
2019-12-05,6.722000,6.763000,6.696000,6.723000,6.583754,19757664
2019-12-06,6.719000,6.775000,6.696000,6.775000,6.634676,21873146
2019-12-09,6.791000,6.795000,6.641000,6.677000,6.538706,25673958
2019-12-10,6.650000,6.758000,6.644000,6.731000,6.591588,21322772
2019-12-11,6.731000,6.839000,6.717000,6.805000,6.664055,20847968
2019-12-12,6.830000,6.899000,6.817000,6.846000,6.704206,27835522
2019-12-13,6.881000,6.934000,6.837000,6.925000,6.781570,29593151
2019-12-16,6.940000,6.969000,6.917000,6.940000,6.796259,20411657
2019-12-17,6.949000,7.038000,6.932000,7.010000,6.864810,37590258
